breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
pos_name,PG,AST,0.995894612,0.104467649,Top1,Point,0.104038769,385,58085,*,*,*,25,*,*,45,-42.143635,19.390524
year,1967,AST,1.0,0.104467649,Change Point,Shape,0.104467649,449,58085,*,*,*,25,*,*,46,-25.36473,49.48711
year,1974,AST,0.959877522,0.104467649,Outlier,Shape,0.100276148,464,58085,*,*,*,25,*,*,47,-25.365034,49.487095
pos_name,PG,AST,0.337138426,0.104467649,Attribution,Point,0.035220059,530,58085,*,*,*,25,*,*,48,-42.143707,19.390564
lg_name,NBA,AST,0.91452761,0.104467649,Attribution,Point,0.095538549,541,58085,*,*,*,25,*,*,49,-42.158096,19.395086
name,-1,PTS;AST,0.625252815,0.104467649,Clustering,Compound Shape,0.083212854,557,58085,*,*,*,25,*,*,50,-33.203075,21.329588
year,-1,PTS,0.483179535,0.066990893,Trend,Shape,0.0323686289999999,12,215458,*,*,*,28,NBA,*,51,-7.0274825,21.166943
year,1968,PTS,1.0,0.066990893,Change Point,Shape,0.066990893,134,215458,*,*,*,28,NBA,*,52,-7.027514,21.167126
year,1992,PTS,0.984985921,0.066990893,Outlier,Shape,0.065985087,174,215458,*,*,*,28,NBA,*,53,-7.027531,21.167276
year,-1,AST,0.434613679,0.066990893,Trend,Shape,0.0291151589999999,312,215458,*,*,*,28,NBA,*,54,-55.349636,-24.899023
pos_name,PG,AST,0.985938323,0.066990893,Top1,Point,0.066048889,372,215458,*,*,*,28,NBA,*,55,-49.425686,38.196663
year,1996,AST,1.0,0.066990893,Change Point,Shape,0.066990893,434,215458,*,*,*,28,NBA,*,56,-55.35119,-24.89867
year,1991,AST,0.988104632,0.066990893,Outlier,Shape,0.066194012,487,215458,*,*,*,28,NBA,*,57,-55.349506,-24.899038
year,-1,PTS,0.230466297,0.117532065,Trend,Shape,0.02708718,13,58083,*,*,*,23,*,*,58,26.066547,44.49403
team_name,TOT,PTS,0.293691294,0.117532065,Top1,Point,0.034518144,50,58083,*,*,*,23,*,*,59,21.453974,17.646574
year,1967,PTS,1.0,0.117532065,Change Point,Shape,0.117532065,143,58083,*,*,*,23,*,*,60,26.066986,44.493874
