breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
year,1950,PTS,0.999561154,0.042864635,Outlier,Shape,0.042845825,172,314680,"[0.27137528851757126, 0.05899460025295847]","[-0.0047981146212851865, -0.006252607913633647]","[0.0001596429384032697, -2.456157517524225e-05]","[-5.803676605224609, 20.424962997436523]",-5.8036766052246085,20.424962997436523,"[-20.76120769797488, -44.30503116003399]","[-0.0009269529712445933, -7.08496469413054e-18]","[-10.123193116995159, -6.6704403008375435]","[7.56349515914917, -7.756052017211914]"
team_name,TOT,AST,1.0,0.042864635,Top1,Point,0.042864635,350,314680,"[0.27137537628978126, 0.05899442194020311]","[-0.004798114621285191, -0.006252607913633641]","[0.00015964293840326795, -2.4561575175243694e-05]","[-5.803641319274902, 20.4251651763916]",-5.803641319274902,20.4251651763916,"[-20.761207697635346, -44.305031160214064]","[-0.0009269529712445909, -6.0728229924462155e-18]","[-10.123193116995157, -6.670440300837549]","[7.56349515914917, -7.756052017211914]"
year,1952,AST,1.0,0.042864635,Change Point,Shape,0.042864635,419,314680,"[0.27137523637495103, 0.05899470618233931]","[-0.004798114621285183, -0.006252607913633647]","[0.00015964293840326854, -2.456157517524283e-05]","[-5.803675651550293, 20.424964904785156]",-5.803675651550293,20.42496490478516,"[-20.761207691122678, -44.30503116366968]","[-0.000926952971244595, -1.7663486937750016e-17]","[-10.123193116995157, -6.670440300837548]","[7.562928676605225, -7.756117343902588]"
year,1950,AST,0.999930296,0.042864635,Outlier,Shape,0.0428616479999999,472,314680,"[0.271375358073076, 0.0589944589482448]","[-0.004798114621285193, -0.006252607913633649]","[0.00015964293840326892, -2.4561575175242305e-05]","[-5.803666591644287, 20.42496681213379]",-5.803666591644287,20.42496681213379,"[-20.761207697871743, -44.30503116008857]","[-0.0009269529712446015, -1.315777616169491e-17]","[-10.123193116995163, -6.670440300837546]","[7.56349515914917, -7.756052017211914]"
year,-1,PTS,0.42477169,0.059457398,Trend,Shape,0.025255819,5,215459,"[0.2249923014499593, -0.01036658705123494]","[-0.0047981146212851804, 0.00026164476904440845]","[0.00016703922658325908, -2.59461618316774e-05]","[-18.91715431213379, 14.397822380065918]",-18.91715431213379,14.397822380065918,"[-28.65850700748669, -8.901361467220962]","[-0.0009269529712445881, 6.542060721733791e-18]","[-0.006671350698923968, 0.028622267532326832]","[10.337409973144531, 12.624377250671387]"
year,1957,PTS,1.0,0.059457398,Change Point,Shape,0.059457398,136,215459,"[0.22499233210616196, -0.010366629561528803]","[-0.0047981146212851995, 0.0002616447690444069]","[0.0001670392265832591, -2.5946161831677076e-05]","[-19.02536964416504, 14.065690040588379]",-19.02536964416504,14.06569004058838,"[-28.65850700746106, -8.901361467204579]","[-0.0009269529712445885, 2.180692923720047e-18]","[-0.006671350698924174, 0.028622267532326925]","[10.179206848144531, 12.994465827941895]"
year,1989,PTS,0.982426645,0.059457398,Outlier,Shape,0.058412532,195,215459,"[0.22499153787422438, -0.010365528198951104]","[-0.004798114621285193, 0.00026164476904441404]","[0.00016703922658325908, -2.5946161831676252e-05]","[-19.025371551513672, 14.065693855285645]",-19.025371551513672,14.065693855285645,"[-28.65850700747722, -8.901361467214937]","[-0.0009269529712445906, 1.0903428896811243e-17]","[-0.006671350698923172, 0.02862226753232629]","[10.337409973144531, 12.624377250671387]"
year,-1,AST,0.376399163,0.059457398,Trend,Shape,0.022379715,321,215459,"[0.22499171975982168, -0.010365780423298459]","[-0.00479811462128519, 0.00026164476904440927]","[0.00016703922658325976, -2.594616183167702e-05]","[-18.919824600219727, 14.395800590515137]",-18.919824600219727,14.395800590515135,"[-28.658507007463434, -8.90136146720619]","[-0.0009269529712445918, 9.027343233795324e-24]","[-0.006671350698923973, 0.028622267532326596]","[10.179206848144531, 12.994465827941895]"
pos_name,PG,AST,0.974785015,0.059457398,Top1,Point,0.05795818,357,215459,"[0.2249919536053719, -0.010366104698640457]","[-0.00479811462128519, 0.0002616447690444101]","[0.00016703922658325892, -2.59461618316769e-05]","[-18.917037963867188, 14.397936820983887]",-18.917037963867188,14.397936820983887,"[-28.658507007552974, -8.901361467263422]","[-0.0009269529712445891, 1.090350954584243e-18]","[-0.0066713506989241715, 0.028622267532326762]","[10.337409973144531, 12.624377250671387]"
year,1960,AST,1.0,0.059457398,Change Point,Shape,0.059457398,436,215459,"[0.22499171044284466, -0.010365767503317089]","[-0.004798114621285204, 0.0002616447690444165]","[0.00016703922658325927, -2.594616183167655e-05]","[-19.02536964416504, 14.06568717956543]",-19.02536964416504,14.06568717956543,"[-28.65850700746427, -8.90136146720658]","[-0.0009269529712445884, 2.1806929557443827e-18]","[-0.006671350698923166, 0.02862226753232617]","[10.337489128112793, 12.623663902282715]"
year,1992,AST,0.986130342,0.059457398,Outlier,Shape,0.058632744,490,215459,"[0.22499125034929732, -0.010365129478407812]","[-0.0047981146212851935, 0.00026164476904441165]","[0.00016703922658325884, -2.594616183167736e-05]","[-18.916105270385742, 14.398863792419434]",-18.916105270385746,14.398863792419435,"[-28.65850700747755, -8.901361467215157]","[-0.0009269529712445895, 8.72274491998518e-18]","[-0.006671350698923169, 0.02862226753232612]","[10.179206848144531, 12.994465827941895]"
year,-1,PTS,0.488896481,0.052066943,Trend,Shape,0.025455345,6,215460,"[0.22434555752204377, 0.06314828505508369]","[-0.004798114621285187, -0.00378698818771114]","[0.0001670392265832593, -2.5946161831676198e-05]","[-12.26519775390625, 24.817209243774414]",-12.26519775390625,24.81720924377441,"[-34.59124548028441, -21.85256747231048]","[-0.0009269529712445908, -4.361355596588574e-18]","[-0.0066713506989243675, 0.02862226753232692]","[18.060218811035156, -16.558643341064453]"
year,1958,PTS,1.0,0.052066943,Change Point,Shape,0.052066943,105,215460,"[0.22434559946369248, 0.0631484100648042]","[-0.004798114621285181, -0.0028666424450060606]","[0.0001670392265832592, -2.59461618316774e-05]","[-12.265198707580566, 24.817209243774414]",-12.265198707580565,24.81720924377441,"[-34.59124547875822, -21.852567464984936]","[-0.000926952971244595, 4.3613802591800465e-18]","[-0.0066713506989237725, 0.02862226753232635]","[18.02739715576172, -16.97486114501953]"
year,1990,PTS,0.980043658,0.052066943,Outlier,Shape,0.051027877,190,215460,"[0.22434559920079836, 0.06314840928124152]","[-0.004798114621285186, -0.003786988187711146]","[0.0001670392265832589, -2.5946161831676873e-05]","[-12.589698791503906, 24.89413070678711]",-12.589698791503904,24.89413070678711,"[-34.59124582394982, -21.852569121908985]","[-0.0009269529712445903, -7.632381506854218e-18]","[-0.006671350698924169, 0.02862226753232684]","[18.02739715576172, -16.97486114501953]"
year,-1,AST,0.437156851,0.052066943,Trend,Shape,0.022761421,305,215460,"[0.2243455993110208, 0.06314840960976234]","[-0.004798114621285188, -0.003786988187711148]","[0.00016703922658325838, -2.5946161831677523e-05]","[-12.626946449279785, 24.936988830566406]",-12.626946449279785,24.93698883056641,"[-34.591245478759845, -21.852567464992866]","[-0.0009269529712445895, 3.2710381773527523e-18]","[-0.006671350698924373, 0.02862226753232684]","[18.02739715576172, -16.97486114501953]"
