x,y
-4.2653832,-59.15239
-40.704147,14.719931
46.057617,2.1407623
-65.39601,-39.28532
17.320904,-0.4783813
-41.207542,15.730454
45.20819,0.030446839
5.942825,16.408709
42.010418,-54.392536
-33.756947,-5.1395497
42.32092,-54.01836
-33.757465,-5.1384854
41.947433,-53.696262
41.625374,-54.0817
59.832558,48.824314
-55.054443,-13.802257
-55.05161,-13.801475
71.443535,7.2829666
71.44259,7.2829647
71.444115,7.282969
-20.567104,-46.398663
-34.10238,-70.4218
-20.567383,-46.398724
-20.567871,-46.398697
92.04537,7.8064446
92.04699,7.807189
92.04616,7.8064184
-30.97471,-50.008026
-31.232212,-69.50938
-30.97511,-50.01101
-30.974686,-50.008083
79.955696,35.329243
-19.566809,-24.806929
-3.8133159,-58.12266
-52.522903,3.9543808
-3.8114576,-58.116974
-52.454693,4.1862354
-65.41338,-39.459625
38.75474,54.877327
17.384188,-0.62653536
-62.39691,-65.07978
-62.37897,-65.055786
-62.472065,-65.07692
31.588324,51.293346
10.94621,-11.85416
33.15186,21.178787
10.92432,-11.926811
10.953685,-11.92358
33.155216,21.17313
33.03677,21.342775
-81.030655,-17.233633
76.40736,28.040743
76.40708,28.040518
76.40703,28.041067
-14.88125,-24.590647
-31.027287,-73.20889
-14.88116,-24.590475
-14.881266,-24.590471
-68.85407,-67.341515
29.714163,52.871452
-68.85471,-67.34138
-68.85497,-67.3415
29.904701,52.631516
19.489407,-20.323048
32.05957,13.777666
19.489408,-20.323065
19.490973,-20.32216
32.05861,13.777744
31.959364,13.97308
20.570307,-21.090626
-82.17819,-14.768243
-81.84137,-15.290574
-82.17841,-14.769644
-63.92508,-58.28186
29.433931,49.923584
-63.93653,-58.227303
-63.925587,-58.28092
29.674044,50.036343
16.805994,-14.756414
24.070202,14.904994
23.318521,14.626418
16.751911,-14.730873
16.75041,-14.793187
24.070202,14.904994
24.027277,15.327981
-80.413506,-16.622618
-54.665737,-57.328613
33.929478,52.524357
-54.66573,-57.32783
-54.665787,-57.32728
33.867435,52.475925
0.42002696,-21.286362
36.953957,28.790764
36.71134,28.613909
0.4200198,-21.286362
0.42004386,-21.286362
36.63955,28.592896
-1.0818355,-40.332043
65.24822,-20.162748
-1.0818257,-40.33201
-1.0818253,-40.33205
-78.577446,9.510324
7.4607234,33.115753
7.6572533,32.92045
-78.5783,9.510475
-78.57756,9.510333
7.462025,33.117542
6.7821746,33.780636
-3.5382586,-57.47893
-53.03569,4.228415
-57.418533,32.13923
44.69029,-23.309517
-57.418495,32.139153
-57.4185,32.139153
44.691463,-23.309614
-10.738496,-3.0946114
39.958744,-37.878777
39.20358,-37.540154
-10.73848,-3.0941138
-10.738511,-3.094101
39.45675,-37.311665
39.707314,-38.035072
38.46322,-36.491
-41.207546,15.730453
45.294853,-0.005456437
5.942842,16.4087
-41.583805,16.497921
44.950325,-0.7939735
4.890753,16.22986
9.7653,48.150986
80.061516,33.56416
80.06494,33.524296
-18.73289,-25.890285
-65.59785,-41.07143
-65.602425,-41.0632
38.746975,54.86977
17.8913,-1.7923055
27.556665,27.526773
70.61865,17.90571
70.61891,17.90571
70.61993,17.90571
-40.957844,-43.897568
-32.56187,-70.247635
-40.957886,-43.897495
-40.957424,-43.897736
-68.274124,-61.83624
-68.25837,-61.838287
-68.26291,-61.81293
30.640242,51.509468
12.107388,-18.073511
36.790245,16.754807
12.107405,-18.073545
12.107386,-18.073534
36.658623,16.906466
36.789753,16.756752
-78.01394,-17.005249
-78.64268,-17.093788
-78.01191,-17.005219
-58.767326,53.648567
-28.83532,1.975146
-28.810175,2.301087
-58.76744,53.648197
-58.76707,53.64846
-28.826042,2.0074666
-63.041145,-21.671083
63.29059,52.173813
63.037605,51.92859
-63.041164,-21.67103
-63.04118,-21.671074
63.076077,51.96134
-6.8278236,30.608109
12.2884245,72.0967
12.8774395,73.75087
12.877058,73.7526
-6.826873,30.60887
13.232489,74.06922
12.289789,72.09314
79.32882,14.618724
79.34023,14.6418
79.345116,14.60813
-29.007221,-35.126244
-33.28383,-68.42598
-29.007078,-35.126366
-29.007221,-35.126575
-33.2843,-68.42894
-37.249462,-17.907488
-51.30323,52.07422
-30.627684,-1.5338259
-51.316,52.100582
-51.388668,52.133266
-30.619686,-1.5310873
-51.99139,-19.557463
62.117264,48.084377
-51.88896,-19.53289
-51.96294,-19.553028
62.15743,48.06876
86.42705,-13.992231
88.074394,-14.440246
-4.916914,28.459757
86.42689,-13.988987
-4.9188185,28.460564
88.541245,-14.415196
88.07058,-14.4455185
-90.57588,64.122505
4.15705,87.317055
-90.575775,64.122185
-90.57538,64.12208
-27.253824,106.41925
-12.614346,-87.27201
-12.733045,-87.28761
-27.25373,106.41819
-27.253801,106.41943
24.61252,-57.69645
-104.30333,-9.684899
-106.009674,-9.863147
24.611637,-57.69721
-106.00654,-9.8632965
-104.30404,-9.6847315
-106.48088,-9.949793
81.73898,20.537243
81.7077,20.582363
81.70758,20.522934
-23.728474,-37.891968
-29.834192,-70.86157
-23.677,-37.853046
-23.644741,-37.896538
-29.83452,-70.86472
-36.707764,-17.699743
-100.59508,68.61565
3.8947077,88.326965
-100.59503,68.61536
-100.67243,68.646706
-32.807198,110.66681
-14.422755,-87.867775
-32.69209,110.63464
-32.795444,110.62874
26.53349,-62.803776
-53.255463,77.24395
-51.959877,76.073296
-53.256054,77.24371
-53.67442,77.51101
26.533813,-62.800575
-51.96482,76.072014
7.3232207,-89.33113
-21.141308,20.012558
-24.915787,67.58167
6.6383114,-89.47112
6.9122024,-89.059715
-25.654572,25.348732
7.0534635,-89.736374
-24.109762,18.519236
-28.793865,68.21819
-29.154217,63.340824
-21.094254,18.651175
-21.93614,17.761744
-24.28834,19.724434
-28.045994,67.29205
-25.655077,25.35048
-22.185545,20.70633
-27.805342,65.13912
-29.99246,67.56731
-26.352179,64.26738
