breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
lg_name,NBA,AST,0.949880857,0.0384303629999999,Attribution,Point,0.036504266,516,25269,*,*,Detroit Pistons,*,*,*,563,-13.34713,-1.6805868
lg_name,NBA,PTS,0.948803778,0.037572117,Attribution,Point,0.035648566,210,25263,*,*,Sacramento Kings,*,*,*,576,-13.663132,-1.5285493
lg_name,NBA,AST,0.948456785,0.037572117,Attribution,Point,0.035635529,522,25263,*,*,Sacramento Kings,*,*,*,578,-13.457731,-1.9244236
lg_name,NBA,PTS,0.94421769,0.040862061,Attribution,Point,0.038582681,224,25266,*,*,Golden State Warriors,*,*,*,583,-13.486084,-1.552346
lg_name,NBA,AST,0.947219415,0.040862061,Attribution,Point,0.038705337,523,25266,*,*,Golden State Warriors,*,*,*,586,-13.337331,-1.6765093
lg_name,NBA,PTS,0.944677471,0.041005102,Attribution,Point,0.038736596,234,25270,*,*,New York Knicks,*,*,*,604,-13.535654,-1.5267032
lg_name,NBA,AST,0.947204879,0.041005102,Attribution,Point,0.038840232,534,25270,*,*,New York Knicks,*,*,*,607,-13.39544,-1.5899001
lg_name,NBA,PTS,0.952209648,0.038144281,Attribution,Point,0.036321352,217,25267,*,*,Philadelphia 76ers,*,*,*,611,-13.498345,-1.9433427
lg_name,NBA,AST,0.952209648,0.038144281,Attribution,Point,0.036321352,511,25267,*,*,Philadelphia 76ers,*,*,*,614,-13.374925,-1.8633755
lg_name,NBA,PTS,0.949080472,0.039097888,Attribution,Point,0.037107042,221,25260,*,*,Los Angeles Lakers,*,*,*,618,-13.498345,-1.9433426
lg_name,NBA,AST,0.949108562,0.039097888,Attribution,Point,0.03710814,520,25260,*,*,Los Angeles Lakers,*,*,*,621,-13.374925,-1.863376
lg_name,NBA,PTS,0.946167179,0.040528298,Attribution,Point,0.038346546,218,25255,*,*,Boston Celtics,*,*,*,624,-13.554434,-1.9549272
lg_name,NBA,AST,0.947606642,0.040528298,Attribution,Point,0.038404885,508,25255,*,*,Boston Celtics,*,*,*,627,-13.43179,-1.5809549
lg_name,NBA,PTS,0.952209648,0.039288609,Attribution,Point,0.037410993,244,25261,*,*,Atlanta Hawks,*,*,*,630,-13.554434,-1.9549263
lg_name,NBA,AST,0.952209648,0.039288609,Attribution,Point,0.037410993,521,25261,*,*,Atlanta Hawks,*,*,*,633,-13.43179,-1.5809551
lg_name,NBA,PTS,0.952209648,0.0255566679999999,Attribution,Point,0.024335306,200,25282,*,*,Utah Jazz,*,*,*,634,-13.805123,-1.8893279
lg_name,NBA,PTS,0.840785039,0.0290373339999999,Attribution,Point,0.024414156,202,25275,*,*,Brooklyn Nets,*,*,*,635,-13.805123,-1.8893244
lg_name,NBA,PTS,0.952209648,0.027845325,Attribution,Point,0.026514587,203,25273,*,*,Phoenix Suns,*,*,*,636,-13.805121,-1.8893274
lg_name,NBA,PTS,0.8356255029999999,0.0296094979999999,Attribution,Point,0.024742452,205,25283,*,*,Indiana Pacers,*,*,*,637,-13.811436,-1.6010947
lg_name,NBA,PTS,0.850178083,0.0298479,Attribution,Point,0.02537603,206,25281,*,*,San Antonio Spurs,*,*,*,638,-13.811435,-1.6010913
lg_name,NBA,PTS,0.952209648,0.0338530489999999,Attribution,Point,0.0322352,212,25276,*,*,Washington Wizards,*,*,*,639,-13.792696,-1.5566741
lg_name,NBA,AST,0.952209648,0.0338530489999999,Attribution,Point,0.0322352,512,25276,*,*,Washington Wizards,*,*,*,640,-13.643058,-1.4815813
lg_name,NBA,PTS,0.952209648,0.0271778,Attribution,Point,0.0258789629999999,214,25288,*,*,Cleveland Cavaliers,*,*,*,641,-13.805122,-1.8893267
lg_name,NBA,PTS,0.952209648,0.029800219,Attribution,Point,0.028376056,219,25257,*,*,Oklahoma City Thunder,*,*,*,642,-13.750027,-1.9516859
lg_name,NBA,AST,0.952209648,0.029800219,Attribution,Point,0.028376056,504,25257,*,*,Oklahoma City Thunder,*,*,*,644,-13.575364,-1.9946464
lg_name,NBA,PTS,0.952209648,0.029228055,Attribution,Point,0.027831236,220,25259,*,*,Los Angeles Clippers,*,*,*,645,-13.792586,-1.5565983
lg_name,NBA,AST,0.952209648,0.029228055,Attribution,Point,0.027831236,501,25259,*,*,Los Angeles Clippers,*,*,*,646,-13.643687,-1.4820234
