breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
lg_name,NBA,AST,0.949880857,0.0384303629999999,Attribution,Point,0.036504266,516,25269,*,*,Detroit Pistons,*,*,*,563,6.2573814,0.8878248
lg_name,NBA,PTS,0.948803778,0.037572117,Attribution,Point,0.035648566,210,25263,*,*,Sacramento Kings,*,*,*,576,6.538889,0.6608133
lg_name,NBA,AST,0.948456785,0.037572117,Attribution,Point,0.035635529,522,25263,*,*,Sacramento Kings,*,*,*,578,6.395556,1.081618
lg_name,NBA,PTS,0.94421769,0.040862061,Attribution,Point,0.038582681,224,25266,*,*,Golden State Warriors,*,*,*,583,6.3669705,0.69472164
lg_name,NBA,AST,0.947219415,0.040862061,Attribution,Point,0.038705337,523,25266,*,*,Golden State Warriors,*,*,*,586,6.258844,0.79089606
lg_name,NBA,PTS,0.944677471,0.041005102,Attribution,Point,0.038736596,234,25270,*,*,New York Knicks,*,*,*,604,6.442342,1.0826018
lg_name,NBA,AST,0.947204879,0.041005102,Attribution,Point,0.038840232,534,25270,*,*,New York Knicks,*,*,*,607,6.298979,1.0106255
lg_name,NBA,PTS,0.952209648,0.038144281,Attribution,Point,0.036321352,217,25267,*,*,Philadelphia 76ers,*,*,*,611,6.443336,1.0829871
lg_name,NBA,AST,0.952209648,0.038144281,Attribution,Point,0.036321352,511,25267,*,*,Philadelphia 76ers,*,*,*,614,6.2991714,1.0100231
lg_name,NBA,PTS,0.949080472,0.039097888,Attribution,Point,0.037107042,221,25260,*,*,Los Angeles Lakers,*,*,*,618,6.4253645,0.6669447
lg_name,NBA,AST,0.949108562,0.039097888,Attribution,Point,0.03710814,520,25260,*,*,Los Angeles Lakers,*,*,*,621,6.291178,0.74247885
lg_name,NBA,PTS,0.946167179,0.040528298,Attribution,Point,0.038346546,218,25255,*,*,Boston Celtics,*,*,*,624,6.4734993,0.65841216
lg_name,NBA,AST,0.947606642,0.040528298,Attribution,Point,0.038404885,508,25255,*,*,Boston Celtics,*,*,*,627,6.334559,1.0228926
lg_name,NBA,PTS,0.952209648,0.039288609,Attribution,Point,0.037410993,244,25261,*,*,Atlanta Hawks,*,*,*,630,6.4688544,0.65845424
lg_name,NBA,AST,0.952209648,0.039288609,Attribution,Point,0.037410993,521,25261,*,*,Atlanta Hawks,*,*,*,633,6.3373976,1.0239623
lg_name,NBA,PTS,0.952209648,0.0255566679999999,Attribution,Point,0.024335306,200,25282,*,*,Utah Jazz,*,*,*,634,6.721981,1.0074515
lg_name,NBA,PTS,0.840785039,0.0290373339999999,Attribution,Point,0.024414156,202,25275,*,*,Brooklyn Nets,*,*,*,635,6.7185907,1.0058004
lg_name,NBA,PTS,0.952209648,0.027845325,Attribution,Point,0.026514587,203,25273,*,*,Phoenix Suns,*,*,*,636,6.715568,0.7403088
lg_name,NBA,PTS,0.8356255029999999,0.0296094979999999,Attribution,Point,0.024742452,205,25283,*,*,Indiana Pacers,*,*,*,637,6.7152314,0.7373946
lg_name,NBA,PTS,0.850178083,0.0298479,Attribution,Point,0.02537603,206,25281,*,*,San Antonio Spurs,*,*,*,638,6.7161174,1.0177047
lg_name,NBA,PTS,0.952209648,0.0338530489999999,Attribution,Point,0.0322352,212,25276,*,*,Washington Wizards,*,*,*,639,6.6768703,0.67328066
lg_name,NBA,AST,0.952209648,0.0338530489999999,Attribution,Point,0.0322352,512,25276,*,*,Washington Wizards,*,*,*,640,6.526758,0.6194857
lg_name,NBA,PTS,0.952209648,0.0271778,Attribution,Point,0.0258789629999999,214,25288,*,*,Cleveland Cavaliers,*,*,*,641,6.722012,1.0074707
lg_name,NBA,PTS,0.952209648,0.029800219,Attribution,Point,0.028376056,219,25257,*,*,Oklahoma City Thunder,*,*,*,642,6.666815,1.0639273
lg_name,NBA,AST,0.952209648,0.029800219,Attribution,Point,0.028376056,504,25257,*,*,Oklahoma City Thunder,*,*,*,644,6.5116086,1.1293284
lg_name,NBA,PTS,0.952209648,0.029228055,Attribution,Point,0.027831236,220,25259,*,*,Los Angeles Clippers,*,*,*,645,6.696535,1.0557477
lg_name,NBA,AST,0.952209648,0.029228055,Attribution,Point,0.027831236,501,25259,*,*,Los Angeles Clippers,*,*,*,646,6.5388017,1.1280733
