breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
pos_name,PG,AST,0.995894612,0.104467649,Top1,Point,0.104038769,385,58085,*,*,*,25,*,*,45,34.411102,-46.149292
year,1967,AST,1.0,0.104467649,Change Point,Shape,0.104467649,449,58085,*,*,*,25,*,*,46,-60.870842,8.111414
year,1974,AST,0.959877522,0.104467649,Outlier,Shape,0.100276148,464,58085,*,*,*,25,*,*,47,-60.871204,8.111427
pos_name,PG,AST,0.337138426,0.104467649,Attribution,Point,0.035220059,530,58085,*,*,*,25,*,*,48,34.411087,-46.152603
lg_name,NBA,AST,0.91452761,0.104467649,Attribution,Point,0.095538549,541,58085,*,*,*,25,*,*,49,34.37168,-46.17399
name,-1,PTS;AST,0.625252815,0.104467649,Clustering,Compound Shape,0.083212854,557,58085,*,*,*,25,*,*,50,42.651737,-39.526237
year,-1,PTS,0.483179535,0.066990893,Trend,Shape,0.0323686289999999,12,215458,*,*,*,28,NBA,*,51,-35.659756,-53.05218
year,1968,PTS,1.0,0.066990893,Change Point,Shape,0.066990893,134,215458,*,*,*,28,NBA,*,52,-35.660854,-53.05356
year,1992,PTS,0.984985921,0.066990893,Outlier,Shape,0.065985087,174,215458,*,*,*,28,NBA,*,53,-35.659904,-53.05455
year,-1,AST,0.434613679,0.066990893,Trend,Shape,0.0291151589999999,312,215458,*,*,*,28,NBA,*,54,4.220366,-62.63157
pos_name,PG,AST,0.985938323,0.066990893,Top1,Point,0.066048889,372,215458,*,*,*,28,NBA,*,55,4.1428475,70.277405
year,1996,AST,1.0,0.066990893,Change Point,Shape,0.066990893,434,215458,*,*,*,28,NBA,*,56,4.220516,-62.63218
year,1991,AST,0.988104632,0.066990893,Outlier,Shape,0.066194012,487,215458,*,*,*,28,NBA,*,57,4.220525,-62.628468
year,-1,PTS,0.230466297,0.117532065,Trend,Shape,0.02708718,13,58083,*,*,*,23,*,*,58,-13.730408,33.76649
team_name,TOT,PTS,0.293691294,0.117532065,Top1,Point,0.034518144,50,58083,*,*,*,23,*,*,59,61.573044,19.445164
year,1967,PTS,1.0,0.117532065,Change Point,Shape,0.117532065,143,58083,*,*,*,23,*,*,60,-13.729999,33.766384
year,1972,PTS,0.982233248,0.117532065,Outlier,Shape,0.1154439019999999,193,58083,*,*,*,23,*,*,61,-13.730466,33.76612
lg_name,NBA,PTS,0.901255666,0.117532065,Attribution,Point,0.10592644,233,58083,*,*,*,23,*,*,62,61.933327,19.388926
year,-1,AST,0.281134095,0.117532065,Trend,Shape,0.033042271,324,58083,*,*,*,23,*,*,63,-63.658882,7.050467
pos_name,PG,AST,0.950582839,0.117532065,Top1,Point,0.111723964,377,58083,*,*,*,23,*,*,64,36.602856,-45.124992
year,1967,AST,1.0,0.117532065,Change Point,Shape,0.117532065,443,58083,*,*,*,23,*,*,65,-63.66024,7.0502925
year,1975,AST,0.967298107,0.117532065,Outlier,Shape,0.113688544,493,58083,*,*,*,23,*,*,66,-63.660667,7.0504317
pos_name,PG,AST,0.308150117,0.117532065,Attribution,Point,0.03621752,513,58083,*,*,*,23,*,*,67,36.6044,-45.123943
lg_name,NBA,AST,0.914539538,0.117532065,Attribution,Point,0.10748772,533,58083,*,*,*,23,*,*,68,36.58609,-45.137035
